T-101;піхота укрита;48.602730;37.938007
Т-102;піхота укрита;48.605858;37.917671
Т-103;піхота;48.594317;37.914648
Т-104;піхота укрита;48.568261;37.883230
Т-105;піхота укрита;48.580133;37.897703
Т-106;піхота укрита;48.532218;37.900205
Т-107;піхота укрита;48.557198;37.903422
Т-201;ксп укрите;48.588623;37.966295
Т-202;міномет укритий;48.576391;37.909502
Т-203;міномет укритий;48.565392;37.915432
Т-204;міномет;48.570083;37.908243
Т-301;гаубиця укрита;48.573059;37.960736
Т-302;гаубиця укрита;48.596196;37.949817
Т-303;гаубиця укрита;48.608206;37.949736
Т-304;гаубиця укрита;48.602496;37.964798
Т-401;логістичний центр;48.597342;37.987914
Т-402;логістичний центр;48.588868;38.006860
Т-403;склад боєприпасів;48.595533;38.035939
Т-404;склад боєприпасів;48.602527;38.004359
Т-405;склад боєприпасів;48.571236;38.012168
